* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, none, adastraextra:adrastea_plains, MONSTER, quark:stoneling, 20, 1, 1
2, none, adastraextra:adrastea_plains, MONSTER, quark:toretoise, 20, 1, 4
3, none, deep_aether:aerglow_forest, MONSTER, quark:stoneling, 20, 1, 1
4, none, deep_aether:aerglow_forest, MONSTER, quark:toretoise, 20, 1, 4
5, none, deep_aether:aerglow_forest, CREATURE, aether:phyg, 10, 3, 4
6, none, deep_aether:aerglow_forest, CREATURE, aether:sheepuff, 12, 3, 4
7, none, deep_aether:aerglow_forest, CREATURE, aether:flying_cow, 12, 2, 5
8, none, deep_aether:aerglow_forest, CREATURE, aether:aerbunny, 11, 3, 3
9, none, deep_aether:aerglow_forest, CREATURE, aether:moa, 10, 1, 3
10, none, deep_aether:aerglow_forest, CREATURE, deep_aether:quail, 15, 2, 5
11, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:aechor_plant, 10, 1, 1
12, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:blue_swet, 10, 1, 1
13, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:golden_swet, 10, 1, 1
14, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:whirlwind, 10, 1, 1
15, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:evil_whirlwind, 10, 1, 1
16, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether_redux:vanilla_swet, 10, 1, 2
17, none, deep_aether:aerglow_forest, AETHER_DARKNESS_MONSTER, aether:cockatrice, 10, 1, 1
18, none, deep_aether:aerglow_forest, AETHER_SKY_MONSTER, aether:zephyr, 20, 1, 1
19, none, deep_aether:aerglow_forest, AETHER_AERWHALE, aether:aerwhale, 10, 1, 1
20, none, deep_aether:aerlavender_fields, MONSTER, quark:stoneling, 20, 1, 1
21, none, deep_aether:aerlavender_fields, MONSTER, quark:toretoise, 20, 1, 4
22, none, deep_aether:aerlavender_fields, CREATURE, aether:phyg, 10, 3, 4
23, none, deep_aether:aerlavender_fields, CREATURE, aether:sheepuff, 12, 3, 4
24, none, deep_aether:aerlavender_fields, CREATURE, aether:flying_cow, 12, 2, 5
25, none, deep_aether:aerlavender_fields, CREATURE, aether:aerbunny, 11, 3, 3
26, none, deep_aether:aerlavender_fields, CREATURE, aether:moa, 10, 1, 3
27, none, deep_aether:aerlavender_fields, CREATURE, deep_aether:quail, 15, 2, 5
28, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:aechor_plant, 10, 1, 1
29, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:blue_swet, 10, 1, 1
30, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:golden_swet, 10, 1, 1
31, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:whirlwind, 10, 1, 1
32, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:evil_whirlwind, 10, 1, 1
33, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether_redux:vanilla_swet, 10, 1, 2
34, none, deep_aether:aerlavender_fields, AETHER_DARKNESS_MONSTER, aether:cockatrice, 10, 1, 1
35, none, deep_aether:aerlavender_fields, AETHER_SKY_MONSTER, aether:zephyr, 20, 1, 1
36, none, deep_aether:aerlavender_fields, AETHER_AERWHALE, aether:aerwhale, 10, 1, 1
37, none, biomeswevegone:allium_shrubland, MONSTER, minecraft:spider, 80, 2, 4
38, none, biomeswevegone:allium_shrubland, MONSTER, minecraft:zombie, 80, 2, 4
39, none, biomeswevegone:allium_shrubland, MONSTER, minecraft:zombie_villager, 10, 1, 1
40, none, biomeswevegone:allium_shrubland, MONSTER, minecraft:skeleton, 80, 2, 4
41, none, biomeswevegone:allium_shrubland, MONSTER, minecraft:creeper, 80, 1, 4
42, none, biomeswevegone:allium_shrubland, MONSTER, minecraft:slime, 80, 2, 6
43, none, biomeswevegone:allium_shrubland, MONSTER, minecraft:enderman, 5, 1, 4
44, none, biomeswevegone:allium_shrubland, MONSTER, minecraft:witch, 5, 1, 1
45, none, biomeswevegone:allium_shrubland, MONSTER, quark:stoneling, 20, 1, 1
46, none, biomeswevegone:allium_shrubland, MONSTER, quark:toretoise, 20, 1, 4
47, none, biomeswevegone:allium_shrubland, MONSTER, vampirism:advanced_vampire, 3, 1, 3
48, none, biomeswevegone:allium_shrubland, MONSTER, vampirism:vampire, 3, 1, 1
49, none, biomeswevegone:allium_shrubland, CREATURE, minecraft:sheep, 12, 3, 5
50, none, biomeswevegone:allium_shrubland, CREATURE, minecraft:pig, 10, 3, 5
51, none, biomeswevegone:allium_shrubland, CREATURE, minecraft:chicken, 10, 3, 5
52, none, biomeswevegone:allium_shrubland, CREATURE, minecraft:cow, 10, 2, 5
53, none, biomeswevegone:allium_shrubland, CREATURE, minecraft:horse, 10, 2, 6
54, none, biomeswevegone:allium_shrubland, CREATURE, minecraft:donkey, 10, 1, 3
55, none, biomeswevegone:allium_shrubland, CREATURE, ars_nouveau:drygmy, 10, 1, 2
56, none, biomeswevegone:allium_shrubland, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
57, none, biomeswevegone:allium_shrubland, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
58, none, biomeswevegone:allium_shrubland, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
59, none, biomeswevegone:allium_shrubland, AMBIENT, minecraft:bat, 10, 8, 8
60, none, biomeswevegone:allium_shrubland, AMBIENT, biomeswevegone:oddion, 10, 2, 10
61, none, biomeswevegone:allium_shrubland, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
62, none, terralith:alpha_islands, MONSTER, minecraft:spider, 80, 2, 4
63, none, terralith:alpha_islands, MONSTER, minecraft:zombie, 80, 2, 4
64, none, terralith:alpha_islands, MONSTER, minecraft:skeleton, 80, 2, 4
65, none, terralith:alpha_islands, MONSTER, minecraft:creeper, 80, 1, 4
66, none, terralith:alpha_islands, MONSTER, minecraft:slime, 80, 2, 6
67, none, terralith:alpha_islands, MONSTER, quark:stoneling, 20, 1, 1
68, none, terralith:alpha_islands, MONSTER, quark:toretoise, 20, 1, 4
69, none, terralith:alpha_islands, MONSTER, vampirism:advanced_vampire, 3, 1, 3
70, none, terralith:alpha_islands, MONSTER, vampirism:vampire, 3, 1, 1
71, none, terralith:alpha_islands, CREATURE, minecraft:sheep, 12, 2, 2
72, none, terralith:alpha_islands, CREATURE, minecraft:pig, 10, 2, 2
73, none, terralith:alpha_islands, CREATURE, minecraft:chicken, 10, 2, 2
74, none, terralith:alpha_islands, CREATURE, minecraft:cow, 10, 2, 2
75, none, terralith:alpha_islands, CREATURE, minecraft:wolf, 10, 2, 2
76, none, terralith:alpha_islands, CREATURE, ars_nouveau:drygmy, 10, 1, 2
77, none, terralith:alpha_islands, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
78, none, terralith:alpha_islands, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
79, none, terralith:alpha_islands, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
80, none, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
81, none, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, minecraft:axolotl, 10, 4, 6
82, none, terralith:alpha_islands_winter, MONSTER, minecraft:spider, 80, 2, 4
83, none, terralith:alpha_islands_winter, MONSTER, minecraft:zombie, 80, 2, 4
84, none, terralith:alpha_islands_winter, MONSTER, minecraft:skeleton, 80, 2, 4
85, none, terralith:alpha_islands_winter, MONSTER, minecraft:creeper, 80, 1, 4
86, none, terralith:alpha_islands_winter, MONSTER, minecraft:slime, 80, 2, 6
87, none, terralith:alpha_islands_winter, MONSTER, quark:stoneling, 20, 1, 1
88, none, terralith:alpha_islands_winter, MONSTER, quark:toretoise, 20, 1, 4
89, none, terralith:alpha_islands_winter, MONSTER, thermal:blizz, 50, 1, 4
90, none, terralith:alpha_islands_winter, MONSTER, vampirism:advanced_vampire, 3, 1, 3
91, none, terralith:alpha_islands_winter, MONSTER, vampirism:vampire, 3, 1, 1
92, none, terralith:alpha_islands_winter, CREATURE, minecraft:sheep, 12, 2, 2
93, none, terralith:alpha_islands_winter, CREATURE, minecraft:pig, 10, 2, 2
94, none, terralith:alpha_islands_winter, CREATURE, minecraft:chicken, 10, 2, 2
95, none, terralith:alpha_islands_winter, CREATURE, minecraft:cow, 10, 2, 2
96, none, terralith:alpha_islands_winter, CREATURE, minecraft:wolf, 10, 2, 2
97, none, terralith:alpha_islands_winter, CREATURE, ars_nouveau:drygmy, 10, 1, 2
98, none, terralith:alpha_islands_winter, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
99, none, terralith:alpha_islands_winter, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
100, none, terralith:alpha_islands_winter, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
101, forest, terralith:alpine_grove, MONSTER, minecraft:spider, 80, 2, 4
102, forest, terralith:alpine_grove, MONSTER, minecraft:zombie, 80, 2, 4
103, forest, terralith:alpine_grove, MONSTER, minecraft:zombie_villager, 10, 1, 1
104, forest, terralith:alpine_grove, MONSTER, minecraft:skeleton, 80, 2, 4
105, forest, terralith:alpine_grove, MONSTER, minecraft:creeper, 80, 1, 4
106, forest, terralith:alpine_grove, MONSTER, minecraft:slime, 80, 2, 6
107, forest, terralith:alpine_grove, MONSTER, minecraft:enderman, 5, 1, 4
108, forest, terralith:alpine_grove, MONSTER, minecraft:witch, 5, 1, 1
109, forest, terralith:alpine_grove, MONSTER, quark:stoneling, 20, 1, 1
110, forest, terralith:alpine_grove, MONSTER, quark:toretoise, 20, 1, 4
111, forest, terralith:alpine_grove, MONSTER, thermal:blizz, 50, 1, 4
112, forest, terralith:alpine_grove, MONSTER, vampirism:advanced_vampire, 3, 1, 3
113, forest, terralith:alpine_grove, MONSTER, vampirism:vampire, 3, 1, 1
114, forest, terralith:alpine_grove, CREATURE, minecraft:sheep, 12, 3, 5
115, forest, terralith:alpine_grove, CREATURE, minecraft:pig, 10, 3, 5
116, forest, terralith:alpine_grove, CREATURE, minecraft:chicken, 10, 3, 5
117, forest, terralith:alpine_grove, CREATURE, minecraft:cow, 10, 2, 5
118, forest, terralith:alpine_grove, CREATURE, minecraft:wolf, 10, 2, 2
119, forest, terralith:alpine_grove, CREATURE, minecraft:rabbit, 10, 2, 3
120, forest, terralith:alpine_grove, CREATURE, minecraft:fox, 10, 1, 2
121, forest, terralith:alpine_grove, CREATURE, ars_nouveau:drygmy, 10, 1, 2
122, forest, terralith:alpine_grove, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
123, forest, terralith:alpine_grove, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
124, forest, terralith:alpine_grove, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
125, forest, terralith:alpine_grove, AMBIENT, minecraft:bat, 10, 8, 8
126, forest, terralith:alpine_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
127, none, terralith:alpine_highlands, MONSTER, minecraft:spider, 80, 2, 4
128, none, terralith:alpine_highlands, MONSTER, minecraft:zombie, 80, 2, 4
129, none, terralith:alpine_highlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
130, none, terralith:alpine_highlands, MONSTER, minecraft:skeleton, 80, 2, 4
131, none, terralith:alpine_highlands, MONSTER, minecraft:creeper, 80, 1, 4
132, none, terralith:alpine_highlands, MONSTER, minecraft:slime, 80, 2, 6
133, none, terralith:alpine_highlands, MONSTER, minecraft:enderman, 5, 1, 4
134, none, terralith:alpine_highlands, MONSTER, minecraft:witch, 5, 1, 1
